ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
240	1	2	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
241	34	1	1	0.000000	12.764706	11.529412	0.000000	0.000000	0	0	0
242	4	1	2	0.000000	21.750000	21.750000	0.000000	0.000000	0	0	0
243	5	2	2	0.000000	37.600000	37.600000	0.000000	0.000000	0	0	0
244	3	1	1	0.000000	32.333333	32.333333	0.000000	0.000000	0	0	0
245	6	1	1	0.000000	14.333333	14.333333	0.000000	0.000000	0	0	0
246	12	2	2	0.000000	32.583333	30.166667	0.000000	0.000000	0	0	0
247	3	1	1	0.000000	16.000000	14.333333	0.000000	0.000000	0	0	0
248	2848	1	2	0.000000	15.493680	13.896419	0.000000	0.000000	0	0	0
249	21	1	1	0.000000	32.095238	29.380952	0.000000	0.000000	0	0	0
250	2	1	2	0.000000	17.000000	16.000000	0.000000	0.000000	0	0	0
251	2	2	1	0.000000	22.000000	21.000000	0.000000	0.000000	0	0	0
252	11	2	1	0.000000	17.727273	17.545455	0.000000	0.000000	0	0	0
253	8	2	1	0.000000	16.375000	16.375000	0.000000	0.000000	0	0	0
254	4	2	1	0.000000	14.750000	14.750000	0.000000	0.000000	0	0	0
255	3	2	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
256	1	1	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
257	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
258	21	1	1	0.000000	1.857143	1.857143	0.000000	0.000000	0	0	0
259	12	2	1	0.000000	22.333333	20.333333	0.000000	0.000000	0	0	0
260	2	2	1	0.000000	22.000000	20.000000	0.000000	0.000000	0	0	0
261	9	1	1	0.000000	19.888889	18.888889	0.000000	0.000000	0	0	0
262	4	2	2	0.000000	20.250000	20.250000	0.000000	0.000000	0	0	0
263	2	2	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
264	4	2	2	0.000000	30.500000	30.500000	0.000000	0.000000	0	0	0
265	2	1	2	0.000000	16.500000	16.500000	0.000000	0.000000	0	0	0
266	2	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
267	4	1	1	0.000000	19.500000	19.500000	0.000000	0.000000	0	0	0
268	3	2	2	0.000000	38.000000	37.000000	0.000000	0.000000	0	0	0
269	2	1	1	0.000000	34.500000	33.000000	0.000000	0.000000	0	0	0
270	6	2	2	0.000000	37.333333	35.333333	0.000000	0.000000	0	0	0
271	5	1	2	0.000000	23.600000	22.600000	0.000000	0.000000	0	0	0
